sensor,t11,t12,t21,t22,t31,t32,t41,t42,t51,t52,t61,t62
1,0.54272,0.04016,0.2608,0.28488,0.36784,0.12304,0.14264,0.14088,0.12608,0.34328,0.37112,0.57456
2,0.11768,0.57448,0.01584,0.11608,0.37304,0.21512,0.14264,0.1696,0.31296,0.05208,0.09456,0.53624
3,0.59608,0.54528,0.14744,0.11552,0.14168,0.17328,0.14264,0.19224,0.08232,0.0616,0.1808,0.48432
4,0.20552,0.09176,0.14776,0.11552,0.15832,0.16616,0.46808,0.51304,0.34648,0.0616,0.45528,0.4464
5,0.20544,0.17616,0.146,0.11552,0.15832,0.16624,0.68424,0.5632,0.2976,0.26048,0.45536,0.31664
6,0.204,0.17448,0.14608,0.11552,0.1584,0.17136,0.06104,0.66712,0.19352,0.26056,0.05272,0.27944
7,0.204,0.17464,0.14608,0.1156,0.15648,0.1648,0.17672,0.5984,0.19344,0.29776,0.19144,0.2796
8,0.20416,0.17472,0.14616,0.11568,0.1564,0.16632,0.4788,0.59856,0.19336,0.36744,0.08688,0.27968
9,0.20424,0.1748,0.14632,0.11568,0.15616,0.16632,0.4788,0.494,0.21384,0.36744,0.0868,0.27976
10,0.20408,0.17488,0.14656,0.11576,0.16016,0.17344,0.30456,0.59864,0.21384,0.0544,0.15872,0.27656
11,0.204,0.17504,0.14296,0.11568,0.15816,0.16448,0.30456,0.45936,0.21376,0.042,0.15872,0.278
12,0.20408,0.17512,0.14504,0.11432,0.15832,0.16472,0.46952,0.3828,0.23264,0.18144,0.15872,0.27808
13,0.20264,0.17528,0.1456,0.11976,0.15632,0.16616,0.46952,0.3828,0.00504,0.14392,0.15616,0.27872
14,0.2056,0.17352,0.1472,0.12,0.15608,0.16624,0.46808,0.38288,0.3716,0.21736,0.15616,0.27696
15,0.20568,0.17712,0.14576,0.11776,0.1556,0.1664,0.4684,0.10576,0.3876,0.2296,0.15896,0.27688
16,0.20568,0.17512,0.1456,0.1172,0.15584,0.1664,0.4692,0.38072,0.31832,0.2296,0.15,0.27544
17,0.20416,0.17296,0.14272,0.11944,0.1596,0.16304,0.46896,0.38064,0.38728,0.07608,0.15472,0.27552
18,0.20296,0.17336,0.14296,0.1196,0.15824,0.16304,0.46984,0.38056,0.30184,0.07608,0.15464,0.27568
19,0.20472,0.17352,0.14968,0.11584,0.15552,0.16592,0.46984,0.09432,0.05872,0.07616,0.15488,0.27624
20,0.20448,0.17592,0.14552,0.11392,0.15568,0.1652,0.46888,0.5004,0.05872,0.07608,0.15512,0.27376
21,0.20424,0.176,0.138,0.11384,0.15536,0.16352,0.59856,0.79232,0.05872,0.04144,0.1572,0.27568
22,0.20648,0.17544,0.13712,0.11016,0.15912,0.16392,0.53776,0.50496,0.33448,0.04128,0.15536,0.27568
23,0.20784,0.17536,0.13704,0.11048,0.1616,0.16624,0.26448,0.09184,0.27112,0.1108,0.15096,0.27336
24,0.208,0.17552,0.13696,0.10944,0.1616,0.16624,0.29976,0.092,0.2712,0.29768,0.15096,0.27336
25,0.20544,0.17552,0.13696,0.11056,0.15392,0.16208,0.08008,0.36368,0.0528,0.29912,0.15096,0.27288
26,0.20488,0.1824,0.1404,0.10792,0.15376,0.16464,0.02768,0.0648,0.04528,0.03744,0.1508,0.2792
27,0.20528,0.17624,0.13784,0.108,0.1572,0.1588,0.63792,0.70216,0.27064,0.2968,0.15144,0.27232
