shot,mean_abs_residual,median_abs_residual,rmse,sigma,tau
t11,0.049068651413712576,0.021846659588301898,0.08730384907605644,0.020963646471500397,0.12834051251411438
t12,0.04545606538182337,0.02186149255404185,0.08365156906459911,0.021023429930210114,0.09994543343782425
t21,0.03823740791994361,0.020909495069051237,0.0635198465343317,0.025043943896889687,0.06721416115760803
t22,0.032802073933440166,0.019200234197084984,0.05550341687508586,0.025040803477168083,0.03847511485219002
t31,0.034978460049125866,0.030960182191937635,0.048269617263514523,0.030223242938518524,0.02789502590894699
t32,0.03541069060045913,0.030943104320775183,0.04988756921951944,0.030137445777654648,0.03640304133296013
t41,0.10685635477023407,0.06146265406671725,0.15621877088515138,0.07372726500034332,0.18109463155269623
t42,0.12288245281720972,0.07093776283256889,0.1795600570052205,0.07889051735401154,0.09560909867286682
t51,0.06778505885852794,0.033969056299337885,0.09594639904978502,0.057432159781455994,0.0293106846511364
t52,0.0705674203228774,0.03586709992743746,0.10422761288162419,0.05700143426656723,0.0613190121948719
t61,0.0408949863935852,0.02527440228945157,0.06574564423637687,0.026629671454429626,0.027292342856526375
t62,0.04361191475376968,0.024328965543824993,0.07372534475518122,0.026226304471492767,0.14929531514644623
