sensor,x,y
1,2.1710424423,-59.9548950195
2,2.1836996078,-60.9639701843
3,2.1938147545,-61.9741401672
4,2.2016136646,-62.9853172302
5,2.2073402405,-63.9974365234
6,2.2112381458,-65.0104064941
7,2.2135510445,-66.0241622925
8,2.2145228386,-67.0386199951
9,2.2143969536,-68.0537033081
10,2.2134170532,-69.0693359375
11,2.2118270397,-70.0854263306
12,2.2098703384,-71.1019134521
13,2.2077906132,-72.1187133789
14,2.2058317661,-73.1357345581
15,2.2042372227,-74.1529159546
16,2.2032506466,-75.1701736450
17,2.2031161785,-76.1874313354
18,2.2040767670,-77.2046051025
19,2.2063767910,-78.2216262817
20,2.2102594376,-79.2384033203
21,2.2159686089,-80.2548675537
22,2.2237479687,-81.2709426880
23,2.2338411808,-82.2865371704
24,2.2464919090,-83.3015823364
25,2.2619435787,-84.3160095215
26,2.2804403305,-85.3297119141
27,2.3022253513,-86.3426361084
28,2.3275427818,-87.3546981812
29,2.3566358089,-88.3658218384
30,2.3897488117,-89.3759155273
31,2.4271245003,-90.3849105835
32,2.4690070152,-91.3927307129
33,2.5156404972,-92.3992919922
34,2.5672678947,-93.4045181274
35,2.6241331100,-94.4083328247
36,2.6864800453,-95.4106597900
37,2.7545518875,-96.4114151001
38,2.8285925388,-97.4105148315
39,2.9088459015,-98.4078979492
40,2.9955554008,-99.4034729004
41,3.0889644623,-100.3971557617
42,3.1893172264,-101.3888854980
43,3.2968568802,-102.3785781860
44,3.4118273258,-103.3661422729
45,3.5344722271,-104.3515167236
46,3.6650352478,-105.3346176147
47,3.8037598133,-106.3153610229
48,3.9508898258,-107.2936706543
49,4.1066689491,-108.2694778442
50,4.2713403702,-109.2426910400
51,4.4451479912,-110.2132415771
52,4.6283359528,-111.1810455322
53,4.8211474419,-112.1460342407
54,5.0238265991,-113.1081085205
55,5.2366170883,-114.0672225952
56,5.4597640038,-115.0232620239
57,5.6935110092,-115.9761810303
58,5.9381022453,-116.9258804321
59,6.1937823296,-117.8722915649
60,6.4607963562,-118.8153228760
61,6.7393517494,-119.7549362183
62,7.0292987823,-120.6911621094
63,7.3302779198,-121.6241455078
64,7.6419291496,-122.5540084839
65,7.9638905525,-123.4808883667
66,8.2958011627,-124.4049224854
67,8.6373014450,-125.3262329102
68,8.9880266190,-126.2449493408
69,9.3476200104,-127.1612091064
70,9.7157163620,-128.0751342773
71,10.0919580460,-128.9868621826
72,10.4759817123,-129.8965301514
73,10.8674268723,-130.8042449951
74,11.2659320831,-131.7101745605
75,11.6711359024,-132.6144256592
76,12.0826797485,-133.5171203613
77,12.5001983643,-134.4184112549
78,12.9233341217,-135.3184204102
79,13.3517246246,-136.2172851562
80,13.7850074768,-137.1151275635
81,14.2228231430,-138.0120697021
82,14.6648092270,-138.9082641602
83,15.1106052399,-139.8038177490
84,15.5598497391,-140.6988830566
85,16.0121822357,-141.5935668945
86,16.4672412872,-142.4880371094
87,16.9246635437,-143.3823852539
88,17.3840904236,-144.2767791748
89,17.8451595306,-145.1713104248
90,18.3075122833,-146.0661468506
91,18.7707843781,-146.9613952637
92,19.2346134186,-147.8571777344
93,19.6986427307,-148.7536468506
94,20.1625080109,-149.6509399414
95,20.6258487701,-150.5491638184
96,21.0883045197,-151.4484710693
97,21.5495128632,-152.3489685059
98,22.0091114044,-153.2508087158
99,22.4667434692,-154.1541137695
100,22.9220428467,-155.0590057373
101,23.3746528625,-155.9656372070
102,23.8242092133,-156.8741302490
103,24.2703533173,-157.7845916748
104,24.7127189636,-158.6971893311
105,25.1509513855,-159.6120300293
106,25.5846843719,-160.5292510986
107,26.0135612488,-161.4489898682
108,26.4372158051,-162.3713684082
109,26.8552875519,-163.2965240479
110,27.2674179077,-164.2245788574
111,27.6732425690,-165.1556854248
112,28.0724010468,-166.0899505615
113,28.4645347595,-167.0275115967
114,28.8495426178,-167.9683837891
115,29.2277469635,-168.9123992920
116,29.5994968414,-169.8593750000
117,29.9651508331,-170.8091125488
118,30.3250598907,-171.7614135742
119,30.6795787811,-172.7160949707
120,31.0290603638,-173.6729888916
121,31.3738632202,-174.6318817139
122,31.7143383026,-175.5925903320
123,32.0508384705,-176.5549316406
124,32.3837203979,-177.5187225342
125,32.7133407593,-178.4837799072
126,33.0400466919,-179.4499053955
127,33.3642005920,-180.4169006348
128,33.6861457825,-181.3845825195
129,34.0062484741,-182.3527679443
130,34.3248558044,-183.3212738037
131,34.6423187256,-184.2899169922
132,34.9590034485,-185.2584686279
133,35.2752532959,-186.2267913818
134,35.5914306641,-187.1946716309
135,35.9078788757,-188.1619262695
136,36.2249603271,-189.1283569336
137,36.5430259705,-190.0937957764
138,36.8624343872,-191.0580291748
139,37.1835327148,-192.0209045410
140,37.5066795349,-192.9821777344
141,37.8322296143,-193.9417266846
142,38.1605377197,-194.8993072510
143,38.4919586182,-195.8547515869
144,38.8268394470,-196.8079071045
145,39.1655387878,-197.7585144043
146,39.5084114075,-198.7064514160
147,39.8558158875,-199.6514892578
148,40.2080955505,-200.5934448242
149,40.5656127930,-201.5321502686
150,40.9287223816,-202.4673919678
151,41.2977714539,-203.3990173340
152,41.6731224060,-204.3268127441
153,42.0551261902,-205.2505798340
154,42.4441337585,-206.1701507568
155,42.8405036926,-207.0853271484
156,43.2445907593,-207.9959106445
157,43.6567459106,-208.9017639160
158,44.0773277283,-209.8026275635
159,44.5066833496,-210.6983642578
160,44.9451789856,-211.5887603760
161,45.3931579590,-212.4736480713
162,45.8509864807,-213.3528137207
163,46.3190116882,-214.2260894775
164,46.7975845337,-215.0933074951
165,47.2870750427,-215.9542236328
166,47.7878265381,-216.8086853027
167,48.3001937866,-217.6564941406
168,48.8245353699,-218.4974670410
169,49.3612098694,-219.3314208984
170,49.9105682373,-220.1581573486
171,50.4729576111,-220.9774932861
172,51.0487518311,-221.7892456055
173,51.6382865906,-222.5932159424
174,52.2419281006,-223.3892211914
175,52.8600311279,-224.1770782471
176,53.4929466248,-224.9565582275
177,54.1410293579,-225.7275390625
178,54.8046379089,-226.4897918701
179,55.4841232300,-227.2431182861
180,56.1795616150,-227.9875183105
181,56.8892021179,-228.7238159180
182,57.6106109619,-229.4532470703
183,58.3413391113,-230.1770172119
184,59.0789489746,-230.8963623047
185,59.8209915161,-231.6125030518
186,60.5650215149,-232.3266448975
187,61.3086013794,-233.0400238037
188,62.0492782593,-233.7538604736
189,62.7846183777,-234.4693450928
190,63.5121688843,-235.1877136230
191,64.2294921875,-235.9101867676
192,64.9341430664,-236.6379852295
193,65.6236724854,-237.3723449707
194,66.2956466675,-238.1144561768
195,66.9476165771,-238.8655395508
196,67.5771484375,-239.6268310547
197,68.1817779541,-240.3995513916
198,68.7590789795,-241.1849060059
199,69.3066101074,-241.9841461182
200,69.8219299316,-242.7984313965
201,70.3025741577,-243.6290435791
202,70.7461318970,-244.4771728516
203,71.1504898071,-245.3438873291
204,71.5164031982,-246.2288513184
205,71.8460540771,-247.1310577393
206,72.1416091919,-248.0494842529
207,72.4052352905,-248.9831085205
208,72.6391143799,-249.9309387207
209,72.8454208374,-250.8919219971
210,73.0263290405,-251.8650360107
211,73.1840133667,-252.8493041992
212,73.3206405640,-253.8436889648
213,73.4383926392,-254.8471527100
214,73.5394287109,-255.8586883545
215,73.6259307861,-256.8772888184
216,73.7000808716,-257.9018859863
217,73.7640380859,-258.9315490723
218,73.8199844360,-259.9651794434
219,73.8700866699,-261.0017395020
220,73.9165191650,-262.0403137207
221,73.9614639282,-263.0798034668
222,74.0070800781,-264.1191711426
223,74.0555419922,-265.1574707031
224,74.1090469360,-266.1936035156
225,74.1694259644,-267.2267456055
226,74.2367477417,-268.2566833496
227,74.3103713989,-269.2835083008
228,74.3896408081,-270.3073120117
229,74.4739456177,-271.3282165527
230,74.5626373291,-272.3462829590
231,74.6550674438,-273.3616638184
232,74.7506103516,-274.3743896484
233,74.8486328125,-275.3846130371
234,74.9484939575,-276.3923950195
235,75.0495452881,-277.3978271484
236,75.1511688232,-278.4010314941
237,75.2527160645,-279.4020690918
238,75.3535461426,-280.4010620117
239,75.4530334473,-281.3980712891
240,75.5505371094,-282.3932495117
241,75.6454162598,-283.3866577148
242,75.7370452881,-284.3784179688
243,75.8247680664,-285.3685607910
244,75.9079589844,-286.3572082520
245,75.9859771729,-287.3445129395
246,76.0581893921,-288.3305358887
247,76.1239471436,-289.3153381348
248,76.1826324463,-290.2990417480
249,76.2335968018,-291.2817077637
250,76.2761993408,-292.2635192871
251,76.3098144531,-293.2444763184
252,76.3337936401,-294.2247314453
253,76.3475036621,-295.2043762207
254,76.3503112793,-296.1834411621
255,76.3415679932,-297.1621093750
256,76.3206558228,-298.1404113770
257,76.2869262695,-299.1184387207
258,76.2402343750,-300.0963439941
259,76.1812133789,-301.0740966797
260,76.1105651855,-302.0517883301
261,76.0289993286,-303.0295715332
262,75.9371948242,-304.0073852539
263,75.8358917236,-304.9853210449
264,75.7257690430,-305.9635009766
265,75.6075363159,-306.9419555664
266,75.4819030762,-307.9207763672
267,75.3495788574,-308.8999633789
268,75.2112731934,-309.8796386719
269,75.0676727295,-310.8598632812
