shot,mean_abs_residual,median_abs_residual,rmse,sigma,tau
t11,0.04947562795330206,0.02002738428545875,0.08769522858154358,0.02258463017642498,0.12882722914218903
t12,0.04574196289464904,0.019930011672132403,0.08402615131115686,0.022538654506206512,0.10050409287214279
t21,0.03884614784306739,0.020856939860490253,0.0641506663456929,0.022997522726655006,0.06867258995771408
t22,0.033468198655584404,0.018960698209835355,0.05610843568988645,0.022982334718108177,0.040004123002290726
t31,0.03529967250499134,0.028965968500759207,0.048403194982896636,0.023197859525680542,0.023666083812713623
t32,0.03572362333725408,0.029344066041768598,0.049859719944705755,0.023190271109342575,0.03221610561013222
t41,0.10658688948640344,0.06448462431994248,0.15565813545582394,0.023308439180254936,0.17898602783679962
t42,0.12282429610755699,0.07045743738579355,0.17938945531742378,0.023305019363760948,0.09328918904066086
t51,0.06857116803086903,0.03896284581037272,0.09714498318212589,0.023294789716601372,0.03716113045811653
t52,0.07169615888440578,0.03783282619757625,0.10407708524565021,0.02330305241048336,0.057073891162872314
t61,0.04258319154221056,0.024919222377701014,0.0671854985374101,0.023105723783373833,0.025233685970306396
t62,0.04517483520817314,0.023895335958287772,0.07482763673108284,0.023103060200810432,0.14753276109695435
