sensor,x,y
1,1.5356189013,-39.9398384094
2,1.5799992085,-40.9588851929
3,1.6238275766,-41.9779510498
4,1.6669856310,-42.9970512390
5,1.7093552351,-44.0161857605
6,1.7508190870,-45.0353584290
7,1.7912597656,-46.0545730591
8,1.8305604458,-47.0738372803
9,1.8686048985,-48.0931472778
10,1.9052772522,-49.1125106812
11,1.9404624701,-50.1319236755
12,1.9740457535,-51.1513938904
13,2.0059132576,-52.1709175110
14,2.0359518528,-53.1905059814
15,2.0640494823,-54.2101402283
16,2.0900940895,-55.2298355103
17,2.1139755249,-56.2495803833
18,2.1355838776,-57.2693786621
19,2.1548111439,-58.2892227173
20,2.1715490818,-59.3091125488
21,2.1856913567,-60.3290405273
22,2.1971547604,-61.3489990234
23,2.2060728073,-62.3689842224
24,2.2127034664,-63.3889770508
25,2.2173044682,-64.4089813232
26,2.2201304436,-65.4289932251
27,2.2214355469,-66.4489974976
28,2.2214713097,-67.4690017700
29,2.2204892635,-68.4890136719
30,2.2187378407,-69.5090103149
31,2.2164661884,-70.5290069580
32,2.2139217854,-71.5490112305
33,2.2113516331,-72.5690078735
34,2.2090022564,-73.5890045166
35,2.2071204185,-74.6089935303
36,2.2059526443,-75.6289978027
37,2.2057449818,-76.6489944458
38,2.2067444324,-77.6689987183
39,2.2091984749,-78.6889877319
40,2.2133555412,-79.7089843750
41,2.2194643021,-80.7289657593
42,2.2277753353,-81.7489318848
43,2.2385396957,-82.7688903809
44,2.2520098686,-83.7887954712
45,2.2684404850,-84.8086776733
46,2.2880876064,-85.8284988403
47,2.3112087250,-86.8482513428
48,2.3380634785,-87.8679199219
49,2.3689138889,-88.8874664307
50,2.4040241241,-89.9068832397
51,2.4436600208,-90.9261398315
52,2.4880902767,-91.9451980591
53,2.5375859737,-92.9640274048
54,2.5924203396,-93.9825897217
55,2.6528687477,-95.0008468628
56,2.7192087173,-96.0187301636
57,2.7917199135,-97.0361938477
58,2.8706858158,-98.0531921387
59,2.9563903809,-99.0696411133
60,3.0491204262,-100.0854873657
61,3.1491651535,-101.1006317139
62,3.2568151951,-102.1150054932
63,3.3723628521,-103.1285247803
64,3.4961023331,-104.1410827637
65,3.6283273697,-105.1525573730
66,3.7693343163,-106.1628570557
67,3.9194183350,-107.1718597412
68,4.0788750648,-108.1794281006
69,4.2479987144,-109.1854248047
70,4.4270834923,-110.1896972656
71,4.6164207458,-111.1921005249
72,4.8162980080,-112.1924591064
73,5.0270023346,-113.1905975342
74,5.2488141060,-114.1863250732
75,5.4820098877,-115.1794586182
76,5.7268595695,-116.1697998047
77,5.9836263657,-117.1571121216
78,6.2525663376,-118.1411972046
79,6.5339250565,-119.1218032837
80,6.8278117180,-120.0987243652
81,7.1338686943,-121.0719070435
82,7.4516277313,-122.0413131714
83,7.7806215286,-123.0069656372
84,8.1203784943,-123.9688796997
85,8.4704313278,-124.9271011353
86,8.8303136826,-125.8816528320
87,9.1995611191,-126.8326187134
88,9.5777139664,-127.7800827026
89,9.9643173218,-128.7241210938
90,10.3589210510,-129.6648254395
91,10.7610797882,-130.6023254395
92,11.1703548431,-131.5367279053
93,11.5863151550,-132.4681854248
94,12.0085315704,-133.3967895508
95,12.4365844727,-134.3227386475
96,12.8700618744,-135.2461395264
97,13.3085546494,-136.1671600342
98,13.7516613007,-137.0859832764
99,14.1989870071,-138.0027313232
100,14.6501407623,-138.9176025391
101,15.1047391891,-139.8307647705
102,15.5624027252,-140.7423858643
103,16.0227546692,-141.6526336670
104,16.4854297638,-142.5617065430
105,16.9500560760,-143.4697723389
106,17.4162750244,-144.3770141602
107,17.8837261200,-145.2836151123
108,18.3520526886,-146.1897583008
109,18.8209018707,-147.0956268311
110,19.2899246216,-148.0013885498
111,19.7587680817,-148.9072418213
112,20.2270870209,-149.8133544922
113,20.6945304871,-150.7199401855
114,21.1607532501,-151.6271209717
115,21.6254100800,-152.5350952148
116,22.0881500244,-153.4440460205
117,22.5486297607,-154.3541564941
118,23.0065002441,-155.2655487061
119,23.4614105225,-156.1784210205
120,23.9130096436,-157.0929260254
121,24.3609485626,-158.0092468262
122,24.8048706055,-158.9274902344
123,25.2444190979,-159.8478546143
124,25.6792354584,-160.7704315186
125,26.1089630127,-161.6953887939
126,26.5332317352,-162.6228637695
127,26.9516830444,-163.5529632568
128,27.3639450073,-164.4858245850
129,27.7696475983,-165.4215393066
130,28.1684207916,-166.3602447510
131,28.5599193573,-167.3019866943
132,28.9441928864,-168.2467041016
133,29.3215904236,-169.1942138672
134,29.6924800873,-170.1442871094
135,30.0572261810,-171.0967407227
136,30.4161891937,-172.0513916016
137,30.7697410583,-173.0080871582
138,31.1182518005,-173.9666290283
139,31.4620876312,-174.9268493652
140,31.8016262054,-175.8886260986
141,32.1372299194,-176.8517608643
142,32.4692802429,-177.8161621094
143,32.7981452942,-178.7816467285
144,33.1241950989,-179.7480926514
145,33.4478111267,-180.7153625488
146,33.7693557739,-181.6833343506
147,34.0892105103,-182.6518707275
148,34.4077529907,-183.6208343506
149,34.7253532410,-184.5901184082
150,35.0423851013,-185.5595855713
151,35.3592300415,-186.5291442871
152,35.6762580872,-187.4986114502
153,35.9938621521,-188.4679260254
154,36.3124046326,-189.4369201660
155,36.6322784424,-190.4054870605
156,36.9538612366,-191.3734741211
157,37.2775459290,-192.3407897949
158,37.6036987305,-193.3072509766
159,37.9327201843,-194.2727661133
160,38.2649917603,-195.2371520996
161,38.6009101868,-196.2002868652
162,38.9408569336,-197.1620025635
163,39.2852287292,-198.1221466064
164,39.6344223022,-199.0805358887
165,39.9888229370,-200.0370330811
166,40.3488349915,-200.9914245605
167,40.7148513794,-201.9435272217
168,41.0872688293,-202.8931427002
169,41.4664840698,-203.8400573730
170,41.8528976440,-204.7840576172
171,42.2468986511,-205.7249298096
172,42.6488761902,-206.6623992920
173,43.0592269897,-207.5962371826
174,43.4783325195,-208.5261840820
175,43.9065780640,-209.4519348145
176,44.3443374634,-210.3732452393
177,44.7919807434,-211.2897644043
178,45.2498664856,-212.2012329102
179,45.7183494568,-213.1072692871
180,46.1977653503,-214.0075683594
181,46.6884460449,-214.9017639160
182,47.1906967163,-215.7895202637
183,47.7048187256,-216.6704406738
184,48.2310867310,-217.5441436768
185,48.7697639465,-218.4102478027
186,49.3210830688,-219.2683410645
187,49.8852577209,-220.1180267334
188,50.4624786377,-220.9589080811
189,51.0529060364,-221.7905578613
190,51.6566696167,-222.6125640869
191,52.2738761902,-223.4244995117
192,52.9045982361,-224.2259826660
193,53.5488815308,-225.0166015625
194,54.2067222595,-225.7959442139
195,54.8781089783,-226.5636596680
196,55.5629806519,-227.3193511963
197,56.2609329224,-228.0629730225
198,56.9701538086,-228.7958984375
199,57.6885337830,-229.5198516846
200,58.4141120911,-230.2366485596
201,59.1450195312,-230.9480285645
202,59.8794593811,-231.6557769775
203,60.6156921387,-232.3617095947
204,61.3519935608,-233.0675964355
205,62.0866317749,-233.7752532959
206,62.8178291321,-234.4865112305
207,63.5437545776,-235.2031707764
208,64.2624740601,-235.9271240234
209,64.9719161987,-236.6601867676
210,65.6698760986,-237.4042510986
211,66.3539123535,-238.1611785889
212,67.0213851929,-238.9328002930
213,67.6694030762,-239.7208709717
214,68.2947921753,-240.5270690918
215,68.8940811157,-241.3529205322
216,69.4635162354,-242.1996612549
217,69.9991226196,-243.0682525635
218,70.4967117310,-243.9591827393
219,70.9520797729,-244.8724822998
220,71.3627166748,-245.8067474365
221,71.7300872803,-246.7588043213
222,72.0565719604,-247.7256317139
223,72.3448867798,-248.7044830322
224,72.5979080200,-249.6930084229
225,72.8186645508,-250.6892089844
226,73.0101470947,-251.6914062500
227,73.1753387451,-252.6982421875
228,73.3171234131,-253.7086029053
229,73.4382781982,-254.7216339111
230,73.5414810181,-255.7366027832
231,73.6292800903,-256.7529602051
232,73.7041168213,-257.7703552246
233,73.7683639526,-258.7884826660
234,73.8242492676,-259.8070373535
235,73.8740005493,-260.8258666992
236,73.9197463989,-261.8448791504
237,73.9636001587,-262.8639526367
238,74.0076599121,-263.8829650879
239,74.0539932251,-264.9018554688
240,74.1047286987,-265.9205627441
241,74.1618881226,-266.9388732910
242,74.2260894775,-267.9567565918
243,74.2967910767,-268.9742431641
244,74.3734207153,-269.9913024902
245,74.4553833008,-271.0079650879
246,74.5420989990,-272.0242004395
247,74.6329421997,-273.0401000977
248,74.7273254395,-274.0556945801
249,74.8246002197,-275.0710144043
250,74.9241561890,-276.0861206055
251,75.0253448486,-277.1011047363
252,75.1275253296,-278.1159362793
253,75.2300338745,-279.1307678223
254,75.3322067261,-280.1456909180
255,75.4333724976,-281.1606445312
256,75.5328445435,-282.1758117676
257,75.6299438477,-283.1911926270
258,75.7239685059,-284.2068786621
259,75.8141860962,-285.2229003906
260,75.8999176025,-286.2393188477
261,75.9804153442,-287.2561645508
262,76.0549468994,-288.2734680176
263,76.1227874756,-289.2912597656
264,76.1831817627,-290.3095092773
265,76.2353820801,-291.3281860352
266,76.2786407471,-292.3473205566
267,76.3121871948,-293.3668212891
268,76.3353042603,-294.3865661621
269,76.3471984863,-295.4065246582
270,76.3471450806,-296.4265441895
271,76.3344039917,-297.4465026855
272,76.3082504272,-298.4661865234
273,76.2680511475,-299.4854125977
274,76.2140426636,-300.5039672852
275,76.1470565796,-301.5217895508
276,76.0679092407,-302.5386657715
277,75.9774627686,-303.5546569824
278,75.8765258789,-304.5696411133
279,75.7659454346,-305.5835876465
280,75.6465301514,-306.5965576172
281,75.5191268921,-307.6085815430
282,75.3845214844,-308.6196289062
283,75.2435226440,-309.6298217773
284,75.0969467163,-310.6392211914
285,74.9455642700,-311.6478881836
286,74.7901535034,-312.6559753418
287,74.6314926147,-313.6635437012
288,74.4703369141,-314.6707458496
289,74.3074645996,-315.6776123047
290,74.1436004639,-316.6843566895
291,73.9795150757,-317.6910705566
292,73.8159255981,-318.6979064941
293,73.6535797119,-319.7048950195
294,73.4932174683,-320.7122497559
295,73.3355560303,-321.7200012207
296,73.1813278198,-322.7283020020
297,73.0312652588,-323.7372436523
298,72.8860855103,-324.7469177246
299,72.7465057373,-325.7573547363
300,72.6132583618,-326.7686767578
301,72.4870605469,-327.7809143066
302,72.3686218262,-328.7940979004
303,72.2586669922,-329.8082275391
304,72.1578903198,-330.8233337402
305,72.0670166016,-331.8393859863
306,71.9867401123,-332.8563232422
307,71.9177551270,-333.8741149902
308,71.8607330322,-334.8926391602
309,71.8163604736,-335.9118041992
310,71.7852859497,-336.9314575195
311,71.7681503296,-337.9514770508
312,71.7655868530,-338.9716491699
313,71.7781753540,-339.9917297363
314,71.8065032959,-341.0115051270
315,71.8510971069,-342.0307006836
316,71.9124755859,-343.0490722656
317,71.9906921387,-344.0662231445
318,72.0832824707,-345.0821533203
319,72.1868667603,-346.0969848633
